,Review_text,Noun_Phrases
2415,All Good,[]
2416,Super,[]
2417,"The user interface to camera quality, battery life. What's not to like about the product?","['The user interface', 'camera quality', 'battery life', 'What', 'the product']"
2418,Everything is good....,['Everything']
2419,Great,[]
2420,One plus mobile is easy to handle and good. But while charging getting heat. And I'm using Jio network. Too much of heating,"['mobile', 'heat', 'I', 'Jio network', 'heating']"
2421,Fully fast mobile gameing performance super,['Fully fast mobile gameing performance super']
2422,The best that one could get..,['one']
2423,"Excellent Master piece
Value for your money
Could be improved on battery life","['Excellent Master piece', 'Value', 'your money', 'battery life']"
2424,Best quality phone...,['Best quality phone']
2425,Worst product I have used . Nokia 1100 is better than this bloody product went service center 4 times in a couple of months. Not even make calls properly. Better avoid these mobiles,"['Worst product', 'I', 'Nokia', 'this bloody product', 'service center', 'a couple', 'months', 'calls', 'these mobiles']"
2426,"Aswome
Worth mobile",['Aswome']
2427,superb mobile. highly recommended,['superb mobile']
2428,worth for price which I paid that is 27k. need some improvement in camera as well battery. after these improvement none of the phone will beat.,"['price', 'I', '27k', 'some improvement', 'camera', 'well battery', 'these improvement', 'none', 'the phone']"
2429,Fantastic one plus 6  .. great picture quality dash charging is so fast.its really awesome phone..,"['Fantastic one plus 6  .. great picture quality dash charging', 'so fast.its really awesome phone']"
2430,really a good phone using 8gb 256gb... camera quality is awesome... snappy and smooth processer and loved OXYGEN OS.. display quality is very vibrant colors also is sun light..... battery is okay you can use all day with net..... specially pubg lover must buy this product you enjoyed a lot 😄.....,"['really a good phone', '256gb', 'camera quality', 'snappy and smooth processer', 'OXYGEN OS', 'display quality', 'very vibrant colors', 'sun light', 'battery', 'you', 'all day', 'net', 'pubg lover', 'this product', 'you', 'a lot']"
2431,Best,[]
2432,The product is great in use and it's all-over awsome.,"['The product', 'use', 'it']"
2433,Best all rounder for sure,['Best all rounder']
2434,"Good ,.not best",[]
2435,IT LOOKS CAMERA PROCESSING ALL ARE GOOD. SOUND QUALITY IS AVERAGE BUT I AM FACING ERROR IN NETWORK CONNECTIVITY. BATTERY LIFE IS DECREASING GRADUALLY.,"['IT', 'CAMERA', 'SOUND QUALITY', 'I', 'ERROR', 'NETWORK CONNECTIVITY', 'BATTERY LIFE']"
2436,Yes,[]
2437,I like very much to gud mobile,"['I', 'mobile']"
2438,Build quality was awesome and camera could be better(not what I was expecting).,"['Build quality', 'camera', 'what', 'I']"
2439,"Battery life 5-5
Picture quality 5-5
Sound quality 5-5
Mind blowing one plus 6 phone performance","['Battery life', 'Picture quality', '5-5\nSound quality', '5-5\nMind', 'one plus 6 phone performance']"
2440,Best regards,['Best regards']
2441,Worth the price!!!,['the price']
2442,"Wow buy from Amazon
Thanks",['Amazon']
2443,Awesome phone,['Awesome phone']
2444,Great product,['Great product']
2445,Love it,['it']
2446,Nice phone i used it for many days. They just need to improve the camera littile bit,"['i', 'it', 'many days', 'They', 'the camera', 'littile']"
2447,Picture and sound quality is good but battery life is not up to Mark.,"['Picture', 'sound quality', 'battery life', 'Mark']"
2448,Price is some high but nice mobile,"['Price', 'some high but nice mobile']"
2449,Best of all,[]
2450,Calling issues and network problems I’m facing now,"['issues', 'network problems', 'I']"
2451,Best Phone,['Best Phone']
2452,Nice,[]
2453,Best ever phone,['Best ever phone']
2454,I m LOVING IT.,['I']
2455,Best phone is this range,"['Best phone', 'this range']"
2456,Worth for d price paid....everything s very good... except the battery which maax lasts for a day...,"['everything', 'the battery', 'maax', 'a day']"
2457,"I purchased Oneplus 6 with high expectations as I am already using 2 and 5. Oneplus 6 is slow compared to 5. The picture quality is not natural and we have keep the screen on full brightness all the time. Because of this factor battery life is also low. I suggest the company to rethink on improving these short comings, even though I am not worth to suggest.","['I', 'Oneplus', 'high expectations', 'I', 'Oneplus', 'The picture quality', 'we', 'the screen', 'full brightness', 'this factor battery life', 'I', 'the company', 'these short comings', 'I']"
2458,Good one... Battery life is below expectation,"['Battery life', 'expectation']"
2459,Worth of money,['money']
2460,What i love the most is its speed. Camera is at par with other flagship devices. Sound output is amazing. Only one difficulty i faced is its weight as earlier i was using Nexus 5 which is only 144 grams. Rest i am satisfied with the product.,"['What', 'i', 'its speed', 'Camera', 'par', 'other flagship devices', 'Sound output', 'Only one difficulty', 'i', 'its weight', 'i', 'Nexus', 'only 144 grams', 'i', 'the product']"
2461,"Good,good,good.",[]
2462,Excellent mobile,['Excellent mobile']
2463,Excellent performance,['Excellent performance']
2464,Value for money,"['Value', 'money']"
2465,Nice phone,['Nice phone']
2466,The camera is not as great as promised. Disappointed,['The camera']
2467,"I bought this phone after buying OnePlus one ,OnePlus two , OnePlus Three and OnePlus X . Great features. Awesome camera.
Completely satisfied with the performance of the phone","['I', 'this phone', 'OnePlus', 'OnePlus X', 'Great features', 'Awesome camera', 'the performance', 'the phone']"
2468,Everything about this phone is gooooddd..,"['Everything', 'this phone']"
2469,Super Phone,['Super Phone']
2470,Smooth fast and red colour looks great,['Smooth fast and red colour']
2471,"I don't know this is the phone's fault or Amazon's fraud coz this phone is not at all what one plus 6 is. It hangs like anything, I can't even perform routine tasks on my phone, even phone calls get disconnected on their own. Very disappointed with this.","['I', ""the phone's fault"", 'this phone', 'It', 'anything', 'I', 'routine tasks', 'my phone', 'even phone calls']"
2472,The mobile camera is awesome and design and battery are great but the sound or mobile is average,"['The mobile camera', 'design', 'battery', 'the sound', 'mobile']"
2473,Nice product,['Nice product']
2474,"I don't know much about the technical stuff. As a layman, I find this phone to be stylish enough, touch response/feel is great, photos are better than what I get on my wife's iPhone, haven't felt any lagging while using different applications, be it Outlook, be it candy crush, general browsing, YouTube, WhatsApp etc etc. Sound quality on calls is really good. Ease of using the Settings and understanding the UI is pretty cool. Going by the reviews, the brand equity of the product,, and my  personal experience using it, I feel the money I spent is totally worthwhile.
The following is for Amazon-- I had to order the phone twice as my first order got cancelled and the whole experience was unpleasant. I had written a mail to customer support with all the details but I did not get any response.","['I', 'the technical stuff', 'a layman', 'I', 'this phone', 'photos', 'what', 'I', ""my wife's iPhone"", 'different applications', 'it', 'Outlook', 'it', 'candy crush', 'general browsing', 'YouTube', 'WhatsApp', 'Sound quality', 'calls', 'Ease', 'the Settings', 'the UI', 'the reviews', 'the product', 'it', 'I', 'the money', 'I', 'The following', 'Amazon--', 'I', 'the phone', 'my first order', 'the whole experience', 'I', 'a mail', 'customer support', 'all the details', 'I', 'any response']"
2475,Awwwww,['Awwwww']
2476,"Unexpected slow face unlock ,the vibrate,ring,scilent button is gone ,very dissoppointing","['Unexpected slow face unlock', 'the vibrate', 'ring', 'scilent button']"
2477,"Bought this phone about a month ago in just 27999 INR (with 1000 INR Amazon pay cash back) and this is my opinion after using it for a month:
I wanted the best hardware configuration for my device which eliminate all the slowness possibilities for Android device.
About hardware:
The outer case is premium in feel and touch. The display ratio to body is perfect. You won't notice any borders as such on all corners. Display is pretty vivid and touch is suoer responsive. The device feels sturdy enough to handle small and medium impacts. The side buttons are easy to operate and does not feel too soft or too notchy either.
Camera:
Camera is not super but definitely a good one. There are lot of ootions in Pro mode just like we get un DSLR. You can set everything custom as per your requirement like focus, aperture, ISO, shutter soeed etc which eill results in very customisable photos.
Sound and Microphone:
Siund at loudspeakers are perfect and audible even in crowded places. Earpiece for calling fullfills the expectatios. Since Oneplus does not provide the headphones in box, you can use any 3.5 mm headphones.
Battery backup:
I simply love the dash charging technology of this device. It charges upto 50 percent of battery just in 10 minutes. Overall battery backup is upto the mark. A single charge will be sufficient with heavy internet usage for a day.
Overall performance:
Yes. This device does heats up a bit when you play any high end games for approx 30 minutes which is very natural as you are using all it's components at extereme levels for better gaming experience. But again, even the battery performance is suoerb for gaming too.
Few areas for improvement:
There are some areas in terms of user UI experience which Oneplus needs to improve a bit. Like other Android devices, this also keeps a lot of garbage files on you ROM which you need to clear time to time. Of course, it won't cause any slowness but it will definitely occupy a space on your ROM.
FINAL verdict:
I woukd definitely recommend this device because even other high end Android devices does not cone uo with such configuration at this orice tag. Snapdragon 845 with 640 GPU packed with 6/8 GB RAM is an astonishing combination in this price bucket.","['this phone', 'just 27999 INR', '1000 INR Amazon', 'cash', 'my opinion', 'it', 'a month', 'I', 'the best hardware configuration', 'my device', 'all the slowness possibilities', 'Android device', 'hardware', 'The outer case', 'premium', 'feel', 'touch', 'The display ratio', 'body', 'You', 'any borders', 'all corners', 'Display', 'The device', 'small and medium impacts', 'The side buttons', 'Camera', 'Camera', 'lot', 'ootions', 'Pro mode', 'we', 'You', 'everything custom', 'your requirement', 'focus', 'aperture', 'ISO', ', shutter', 'very customisable photos', 'Sound', 'Microphone', 'Siund', 'loudspeakers', 'crowded places', 'Earpiece', 'the expectatios', 'Oneplus', 'the headphones', 'box', 'you', 'any 3.5 mm headphones', 'Battery backup', 'I', 'the dash', 'technology', 'this device', 'It', 'upto 50 percent', 'battery', '10 minutes', 'Overall battery backup', 'A single charge', 'heavy internet usage', 'a day', 'Overall performance', 'This device', 'you', 'any high end games', '30 minutes', 'you', 'it', 'components', 'extereme levels', 'better gaming experience', 'even the battery performance', 'gaming', 'Few areas', 'improvement', 'some areas', 'terms', 'user UI experience', 'Oneplus', 'other Android devices', 'a lot', 'garbage files', 'you', 'ROM', 'you', 'time', 'time', 'it', 'any slowness', 'it', 'a space', 'your ROM', 'FINAL verdict', 'I', 'this device', 'even other high end Android devices', 'such configuration', 'this orice tag', 'Snapdragon', '640 GPU', '6/8 GB RAM', 'an astonishing combination', 'this price bucket']"
2478,Performance,['Performance']
2479,Everything is perfect,['Everything']
2480,Good at its price,['its price']
2481,Great,[]
2482,What a phone.,['What a phone']
2483,Good,[]
2484,The best android phone,['The best android phone']
2485,Have problem in speaker,"['problem', 'speaker']"
2486,Best in this price range,['this price range']
2487,Good,[]
2488,Nice,[]
2489,"WOW!! What a phone
OnePlus just nailed it.
Speed, camera , and dash charge
You not going to get anything in this price range
Much better than Samsung and iPhone","['What a phone', 'OnePlus', 'it', 'Speed', 'camera', 'dash charge', 'You', 'anything', 'this price range', 'Samsung', 'iPhone']"
2490,Super phone,['Super phone']
2491,Value of money,"['Value', 'money']"
2492,Like this product,['this product']
2493,"I like this phone very much , not only soung,picture,battery and also it very faster phone and also I make my friends to buy one plus","['I', 'this phone', 'it', 'I', 'my friends']"
2494,Nothing,['Nothing']
2495,Camera is too good,['Camera']
2496,"OnePlus 6 is equal to OnePlus 6t in all the manner but except battery life the price is much good I bought it for 25,400 from amazon.in","['OnePlus', 'OnePlus', 'all the manner', 'battery life', 'the price', 'I', 'it']"
2497,Good performance,['Good performance']
2498,Battery is good and use longe time,"['Battery', 'longe time']"
2499,Great phone. Worth the price. Some really good features,"['Great phone', 'the price', 'Some really good features']"
2500,Picture quality is super,['Picture quality']
2501,I am soo happy that I got original nd gud one plus 6 phone,"['I', 'I', '6 phone']"
2502,Only competitor to I phone X,"['Only competitor', 'I', 'phone X']"
2503,battary issue my phone,['my phone']
2504,Nice mobile.,['Nice mobile']
2505,Value for money but will not be considered as a true flagship.,"['Value', 'money', 'a true flagship']"
2506,Worth,[]
2507,It's really flagship killer.,"['It', 'flagship killer']"
2508,"IT IS A GREAT PHONE AT THIS PRICE POINT, GREAT VALUE FOR MONEY.","['IT', 'A GREAT PHONE AT THIS PRICE POINT', 'GREAT VALUE', 'MONEY']"
2509,A good flagship phone for 29000.,['A good flagship phone']
2510,Good,[]
2511,Best,[]
2512,Good mobil,['Good mobil']
2513,Battery backup is less.,['Battery backup']
2514,Wonderful mobile. The gestures and all features are too good and interesting. And dash charging is awesome.,"['Wonderful mobile', 'The gestures', 'all features', 'dash charging']"
2515,Extradinary Mobile,['Extradinary Mobile']
2516,Excellent phone with all the new updated version,"['Excellent phone', 'all the new updated version']"
2517,Good phone.,['Good phone']
2518,super,[]
2519,"Despite the phone being good,the service is extremely poor. The charger stoped working after 25 days exactly. When i complained on amazon,they clearly shunned away from taking any responsibility and the oneplus customer care service asked me to visit their workshop which is like 200 kms aways from my place. So before you buy this product,make sure you live near to chandigarh,ludhiana or amritsar if in punjab.
All their easy service or warranty claims are false.","['the phone', 'the service', 'charger', '25 days', 'i', 'amazon', 'they', 'any responsibility', 'the oneplus customer care service', 'me', 'their workshop', '200 kms', 'my place', 'you', 'this product', 'you', 'ludhiana', 'amritsar', 'punjab', 'All their easy service', 'warranty claims']"
2520,"Low light picture quality is not good, but overall phone quality is good, while capturing video on super slow motion it's gives a lag after every particular time duration","['Low light picture quality', 'overall phone quality', 'video', 'super slow motion', 'it', 'a lag', 'every particular time', 'duration']"
2521,"Whole phone quality was awesome,There were some issues with camera,Need to fix bugs.","['Whole phone quality', 'some issues', 'camera', 'bugs']"
2522,Worth product in all aspects,"['Worth product', 'all aspects']"
2523,"I got this phone in a good deal on Amazon sale. I exchanged my OnePlus 3 and got good discount.
It is a nice phone but as compared to OnePlus 3, it is on heavier side and little thicker too.","['I', 'this phone', 'a good deal', 'Amazon sale', 'I', 'my OnePlus', 'good discount', 'It', 'a nice phone', 'OnePlus', 'it', 'heavier side']"
2524,Good product,['Good product']
2525,Not better than iPhone,['iPhone']
2526,Amazing picture quality sound is best of best and battery life long long,"['Amazing picture quality sound', 'best and battery life']"
2527,"Every aspect of this phone is great. There is no negative at least from my perspective. Camera is good, speed is the absolute best, screen is sharp and bright, reception is great and there is zero bloat, it just never slows down! I would highly recommend.","['Every aspect', 'this phone', 'my perspective', 'Camera', 'speed', 'screen', 'reception', 'zero bloat', 'it', 'I']"
2528,"Pro: Beautiful and Good looking phone along with a fast processor. Face unlock and finger print reader is the fastest I have ever come across. Battery life and optimization is good. From zero to full charge usually it takes 45 minutes approximately.
Gesture control is amazing and also you can improvise the display as per your requirement. Stock Android is a big big plus for this phone
Cons: Camera is the biggest let down for me. One plus need to improve the camera.
I found Sound quality below par.
Overall I will 8.5 out of 10, at this price range this is the best samrtphone in the market.","['Pro', 'Beautiful and Good looking phone', 'a fast processor', 'Face unlock and finger print reader', 'I', 'Battery life', 'optimization', 'full charge', 'it', '45 minutes', 'Gesture control', 'you', 'the display', 'your requirement', 'Stock Android', 'this phone', 'Cons', 'Camera', 'me', 'the camera', 'I', 'Sound quality', 'par', 'I', 'this price range', 'the best samrtphone', 'the market']"
2529,Everything good till now,['Everything']
2530,Very good looking and great features phone,['features phone']
2531,Woow.thats it,"['Woow.thats', 'it']"
2532,Best mobile with good performance and speed.,"['Best mobile', 'good performance', 'speed']"
2533,Just fabulous,[]
2534,"It comes with some amazing features in affordable price, unlike other expenses phones which are costly only for their brand name. OnePlus is always a best buy.","['It', 'some amazing features', 'affordable price', 'other expenses phones', 'their brand name', 'OnePlus', 'a best buy']"
2535,Another great product from one plus,['Another great product']
2536,Fantastic,[]
2537,Dream phone with affordable prize,"['Dream phone', 'affordable prize']"
2538,The phone is worthy for what you pay. Best processer we get and camera quality is best. Charging is done so quickly. Best price range phone to buy.,"['The phone', 'what', 'you', 'Best processer', 'we', 'camera quality', 'Charging', 'Best price range phone']"
2539,"It has a big problem in its display on ... even after trying several times ... there is no solution to this problem yet ... tweeted one plus care but they did not respond ...So even after taking such expensive phone, there is a mental stress ... Can anyone solve this problem?","['It', 'a big problem', 'its display', 'no solution', 'this problem', 'care', 'they', 'such expensive phone', 'a mental stress', 'anyone', 'this problem']"
2540,Very nice,[]
2541,"Nice design, amazing picture quality, awesome camera, easy to operate and many more...☺☺☺","['Nice design', 'amazing picture quality', 'awesome camera', '☺☺☺']"
2542,A great value for your money. The phone performs exceptionally well. It's better value than even OP 6T also.,"['A great value', 'your money', 'The phone', 'It', 'better value', 'even OP 6T']"
2543,Value for money .A phone can compete iphone.,"['Value', 'money', 'phone', 'iphone']"
2544,Awasome,[]
2545,Excellent Phone,['Excellent Phone']
2546,I LIKED MOST IS SPEED,"['I', 'SPEED']"
2547,Amazing phone,['Amazing phone']
2548,Just go for it .. value for money !!,"['it', 'money']"
2549,Battery backup is too bad.,['Battery backup']
2550,"Best phone very fast charging superb camera
Specially for night photo
Value for money
Super processer amazing voice quality one plus is d best","['Best phone', 'superb camera', 'night photo', 'Value', 'money']"
2551,Speakers sounds okay unlike 6T.,['Speakers']
2552,Good product,['Good product']
2553,Loved the phone,['the phone']
2554,All the features are awesome but battery life is poor,"['All the features', 'battery life']"
2555,Good,[]
2556,Improvement of battery is required,"['Improvement', 'battery']"
2557,Good one,[]
2558,It's excellent phone ...I love it.,"['It', 'excellent phone', 'I', 'it']"
2559,Sound quality is good when you have ear phones plugged in . while on speaker I feel distortion,"['Sound quality', 'you', 'ear phones', 'speaker', 'I', 'distortion']"
2560,This is the best budget android phone and it can beat every flagship that has come until now in the term of speed,"['the best budget android phone', 'it', 'every flagship', 'the term', 'speed']"
2561,Heating problem,['Heating problem']
2562,Display lighting is veryyyy bad,['Display lighting']
2563,"Picture quality is very good. Superior Colorado gradients. Camera is very good.
Sound is not that great... quality is good but not suitable for outdoor music playback. Too faint against external audities.","['Picture quality', 'Superior Colorado gradients', 'Camera', 'Sound', 'quality', 'outdoor music playback', 'external audities']"
2564,Awesome product,['Awesome product']
2565,"Probably the best-valued smartphone considering it's price. Got the Pie update a few weeks ago and with the Oxygen OS on the top, the phone feels really great.","['Probably the best-valued smartphone', ""it's price"", 'the Pie', 'the Oxygen OS', 'the top', 'the phone']"
2566,My charger stopped working.how can I replace it?,"['My charger', 'I', 'it']"
2567,Excellent phone in every aspect,"['Excellent phone', 'every aspect']"
2568,Killer.,['Killer']
2569,Usb not sport bad thing,['bad thing']
2570,Yes,[]
2571,Good,[]
2572,Nice,[]
2573,superb!! Happy!!,[]
2574,Good mobile... battery should be increase...Value for money mobile.....,"['Good mobile... battery', 'Value', 'money']"
2575,"After android pie update battery drains little faster than orio version.
Excellent phone oneplus 6 switched from Samsung to Oneplus.","['orio', 'version', 'Excellent phone oneplus', 'Samsung', 'Oneplus']"
2576,Nothing,['Nothing']
2577,Awesome,[]
2578,Cool phone,['Cool phone']
2579,If  you are a speed lover then this is the right choice.,"['you', 'a speed lover', 'the right choice']"
2580,"I bought it @ 27 k so keeping in mind the price of 27k , I am writing Pros & cons of this oneplus6 :
MY ONEPLUS6 CURRENT OSXYGEN OS 9.0.
PROS :
1. SPEED : YES , AWSEOME YOU GONNA LOVE IT.
2. CHARGER : Its superb , excellent ,mind blowing charge rapidly .
3. SCREEN TOUCH is overall good and buttery.
CONS :
CAMERA : Nice on paper but not on reality , pictures are not crisp sometime have oil paint effect , I think main problem is with image processing. So advise everyone no to update to os. 9.0.2 .
BATTERY BACKUP : It easily last for 1 and half day *if you dont play games as I dont play games. Otherwise for heavy user hardly 3-3.5 hours.
Sound Quality : sometime shrill at full volume.
Camera Bumper : Get scratches , so dont like it.
Now I can say this phone doesnt deserve price tag of 35k , I bought @27k so fine. In oneplus6 , OTA update plays major role beacuse camera qaulity , battery backup and performance as last upadte os.9.0.2 is worst this is the reaon I didnt upadte till now . So always check reviews before updating to latest OTA update.","['I', 'it', 'mind', 'the price', '27k', 'I', 'Pros', 'cons', 'this oneplus6', 'MY ONEPLUS6 CURRENT OSXYGEN OS', 'PROS', 'SPEED', 'AWSEOME', 'YOU', 'GONNA LOVE', 'IT', 'CHARGER', 'Its superb , excellent ,mind', 'charge', 'SCREEN TOUCH', 'CONS', 'CAMERA', 'paper', 'reality', 'pictures', 'oil paint effect', 'I', 'main problem', 'image processing', 'everyone', 'BATTERY BACKUP', 'It', '1 and half day', 'you', 'games', 'I', 'games', 'heavy user', 'hardly 3-3.5 hours', 'full volume', 'Camera Bumper', 'scratches', 'it', 'I', 'this phone', 'price tag', '35k', 'I', '@27k', 'oneplus6', 'OTA update', 'major role beacuse camera qaulity', 'battery backup', 'performance', 'last upadte', 'os.9.0.2', 'the reaon', 'I', 'reviews', 'latest OTA update']"
2581,I am a old one plus fan previously used one plus 3t and now using ome plus 6 a huge improvement and also software optimisation is best in lobe with oxygen os. Early updates are v good,"['I', 'a old one plus fan', 'one plus 3t', 'a huge improvement', 'also software optimisation', 'lobe', 'Early updates']"
2582,Buy,[]
2583,Ek number phone h,['Ek number phone h']
2584,It's been around 5months now...no issues...just amazing phone and amazing experiences and memories to capture and cherish...,"['It', 'no issues', 'just amazing phone and amazing experiences', 'memories']"
2585,Simply loved the feel and the display. Premium phone  . giving iphone and Samsung a run for their money. But one plus is on its Path to fall due to its price,"['the feel', 'the display', 'Premium phone', 'iphone', 'Samsung', 'a run', 'their money', 'one plus', 'its Path', 'its price']"
2586,Good phone,['Good phone']
2587,Battery life is best,['Battery life']
2588,Battery backup is not good..,['Battery backup']
2589,Not satisfied with the quality of product. Sound not clear. Frequent Signal drop issue,"['the quality', 'product', 'Frequent Signal drop issue']"
2590,Best phone of 2017 without any doubt especially in 30k its best,"['Best phone', 'any doubt', '30k']"
2591,Camera quality and operation is fabulous. Picture and dispaly quality is amazing. Operating system is quite user friendly. Operating speed is quite good.,"['Camera quality', 'operation', 'Picture', 'dispaly quality', 'Operating system', 'Operating speed']"
2592,Best experience ever in an android phone with a great features and great service,"['Best experience', 'an android phone', 'a great features', 'great service']"
2593,Nice,[]
2594,Best phone,['Best phone']
2595,Best handset and my favorite too. .,['Best handset']
2596,Great camera.nd gt regular updates.,"['Great camera.nd', 'regular updates']"
2597,Nice products,['Nice products']
2598,Aj levai,[]
2599,Awesome,[]
2600,Nice n good,[]
2601,Fan of OnePlus,"['Fan', 'OnePlus']"
2602,Nice phone,['Nice phone']
2603,Supeb,['Supeb']
2604,Perfect phone but battery is capacity is small,"['Perfect phone', 'battery', 'capacity']"
2605,Picture quality,['Picture quality']
2606,Within 1 year screen replacement refund,['1 year screen replacement refund']
2607,Excellent picture quality and good bactory life,"['Excellent picture quality', 'good bactory life']"
2608,ONLY ONE WORD ( AMAZING SMART PHONE ),"['ONLY ONE WORD', '( AMAZING SMART PHONE']"
2609,It's lit 💯 then 6t,['It']
2610,This phone is very good.,['This phone']
2611,Awesome phone purchased under best offer.,"['Awesome phone', 'best offer']"
2612,OnePlus... never settle,['OnePlus']
2613,Awesome piece to buy.,['Awesome piece']
2614,The phone is probably best in its class. But the battery does not last too long. However the battery charges quickly. It is good for a typical day of normal usage.,"['The phone', 'its class', 'the battery', 'It', 'a typical day', 'normal usage']"
2615,value for money,"['value', 'money']"
2616,Fantastic,[]
2617,Very good performance & speed.. awesome picture quality... People who got irritated with mobile hang out should try this..,"['Very good performance', 'speed', 'awesome picture quality', 'People', 'who', 'mobile hang']"
2618,"The mobile One Plus 6t is pretty good. I'm fully satisfied with it, so far. Value for money . .","['The mobile One Plus 6t', 'I', 'it', 'Value', 'money']"
2619,Good,[]
2620,Amazing phone,['Amazing phone']
2621,Sound quality could be improved,['Sound quality']
2622,It's perfect!,['It']
2623,Nice picture quality,['Nice picture quality']
2624,Picture quality,['Picture quality']
2625,Value for money,"['Value', 'money']"
2626,A VFM product,['A VFM product']
2627,good,[]
2628,Fabulous,[]
2629,Not so great as stating as premium phone. Other premium phone has few really premium features.,"['premium phone', 'Other premium phone', 'few really premium features']"
2630,Like the phone for picture & sound quality. Battery life is 95%good. Easy to operate.,"['the phone', 'picture', 'sound quality', 'Battery life']"
2631,Protrait mode is not so good and ois also not work some time .,"['Protrait mode', 'ois']"
2632,Nice mobile,['Nice mobile']
2633,Excellent,[]
2634,Best Picture quality.,['Best Picture quality']
2635,Amazing phone with all features,"['Amazing phone', 'all features']"
2636,Best phone,['Best phone']
2637,Amazing phone for the price . Never got hanged ones in last 2months of purchase .,"['Amazing phone', 'the price', 'ones', 'purchase']"
2638,Nice product and got it for good price in Amazon sale,"['Nice product', 'it', 'good price', 'Amazon sale']"
2639,Best phone,['Best phone']
2640,Love my one plus in every term,"['my one', 'every term']"
2641,Super phone,['Super phone']
2642,Awesome phone,['Awesome phone']
2643,Gadget is amazing loved the performance picture quality is too good .and sound quality could get better i guess overall its nice phone,"['Gadget', 'the performance picture quality', 'sound quality', 'i', 'its nice phone']"
2644,"So I got the silk white version (8+128) for 33.5 k plus 1k amazon pay balance. So I would say that its more phone for the money.  The marginal utility of 6T vs 6 is very less plus 6 owns 6T coz it got 3.5mm jack. The only think 6T wins is battery life though the dash charging.i don't like notch so I don't like the tear drop notch on 6T too.
Installed Pixel 3 cam asap now taking incredible images.","['I', 'the silk white version', '1k amazon pay balance', 'I', 'its more phone', 'the money', 'The marginal utility', '6T', 'it', '3.5mm jack', '6T wins', 'battery life', 'notch', 'I', 'the tear drop', '6T', 'incredible images']"
2645,Super Phone......,['Super Phone']
2646,"It's an awesome phone
Feels premium in hand
Has not lagged at all
The face detection is a little slow but thn thr is finger print sensor also
Basically i can't complaint anything about it","['It', 'an awesome phone\nFeels premium', 'hand', 'The face detection', 'thn thr', 'finger print sensor', 'i', 'anything', 'it']"
2647,None made like this,['None']
2648,"Got it for 27k on Amazon Great Indian Sale, Best bang for buck, even better than pocof1 in terms of price/performance. Also best smartphone you can get at a reasonable price. The software is also superb , makes stock Android better. I bought a poco f1 before it, but the software experience was a deal breaker for me. The sound quality is OK, but not too good. REST IS BEST.","['it', '27k', 'Amazon Great Indian Sale', 'Best bang', 'buck', 'pocof1', 'terms', 'price/performance', 'best smartphone', 'you', 'a reasonable price', 'The software', 'I', 'a poco f1', 'it', 'the software experience', 'a deal breaker', 'me', 'The sound quality', 'REST']"
2649,"Recently bought a one plus six mobile mid night black, 256 GB memory,  8 GB ram on 15 October 2018 via Amazon, dealer is rocket commerce LLP
But this mobile is of  very poor quality,service centers located in Jaipur ,Rajasthan also can not resolve the problem
Over all third class mobile, third class dealer and third class service center.no one should by this mobile.","['a one plus six mobile mid night black', '256 GB memory', '8 GB ram', '15 October', 'Amazon', 'rocket commerce LLP', 'this mobile', 'very poor quality', 'service centers', 'Jaipur', 'Rajasthan', 'the problem', 'all third class mobile', 'third class dealer', 'third class service center.no', 'one', 'this mobile']"
2650,Battery life is not toooo good,['Battery life']
2651,Best buy,[]
2652,Good,[]
2653,Camera quality is not as expected...,['Camera quality']
2654,"Picture quality is not up to the mark. Not in depth.
Sound is good. Battery capacity is too less such a 35k price tag.
There is no voice recorder, QR code scanner, recent call list un saved numbers not showing for message receipient.","['Picture quality', 'the mark', 'depth', 'Sound', 'Battery capacity', 'too less such a 35k price tag', 'no voice recorder', 'QR code', 'scanner, recent call list', 'saved numbers', 'message receipient']"
2655,Picture quality is very bad,['Picture quality']
2656,Super,[]
2657,"Good Picture , sound & battery life .","['Good Picture', 'sound', 'battery life']"
2658,Awsome flagship,['Awsome flagship']
2659,"Got with exchange offer. Absolutely VFM at 28k with exchange offer.
Same as OnePlus 6 but includes headphone jack and  fast fingerprint scanner.
Why pay more for less (OnePlus 6t).
Thank you Amazon for this Amazing offer.
Nothing much to talk about the phone. It's excellent in every way","['exchange offer', 'Absolutely VFM', 'exchange offer', 'Same', 'OnePlus', 'headphone jack', 'fast fingerprint', 'scanner', '(OnePlus 6t', 'you', 'this Amazing offer', 'Nothing', 'the phone', 'It', 'every way']"
2660,Got my phone stolen actually...bought same another one...as there was no competition to this at that price.,"['my phone', 'no competition', 'that price']"
2661,Product is awesome but need extra improvement,"['Product', 'extra improvement']"
2662,"My opinion on this phone is amazing, but I not like the gorilla glass 5 of this mobile because it is not protect the mobile fully from damaging. When you buy this mobile then u have to also buy a genuine case.","['My opinion', 'this phone', 'I', 'the gorilla glass', 'this mobile', 'it', 'the mobile', 'you', 'this mobile', 'u', 'a genuine case']"
2663,Camera a little less saturated in colours that it should be. Otherwise a great phone at this price.,"['Camera', 'colours', 'it', 'Otherwise a great phone', 'this price']"
2664,awesome phone nice picture clarity but didn't got the earphones,"['awesome phone nice picture clarity', 'the earphones']"
2665,Value for money,"['Value', 'money']"
